date,product_id,product,sales,price,category
9/6/2024,2,poncho,128,67.83,accesorios
2/23/2025,3,bufanda,74,110.05,calzado
9/19/2024,4,botas,88,66.96,Chaquetas
10/28/2024,5,guantes,176,16.33,calzado
8/29/2024,6,botas,20,160.85,accesorios
2/1/2025,7,poncho,168,12.91,Chaquetas
11/12/2024,8,guantes,97,167.2,Chaquetas
12/15/2024,9,chaqueta,153,61.71,accesorios
4/19/2025,10,poncho,77,189.63,accesorios
4/6/2025,11,chaqueta,104,101.38,accesorios
6/27/2025,12,chaqueta,132,142.07,Chaquetas
11/16/2024,13,paraguas,194,163.98,calzado
4/18/2025,14,botas,71,21.61,Chaquetas
6/9/2025,15,Impermeable,124,65.05,Chaquetas
5/22/2025,16,paraguas,74,38.8,accesorios
10/31/2024,17,bufanda,38,97.64,calzado
2/11/2025,18,bufanda,120,37.97,Chaquetas
9/6/2024,19,botas,116,165.96,calzado
7/19/2025,20,chaqueta,31,147.46,accesorios
10/8/2024,21,chaqueta,68,82.05,Chaquetas
1/10/2025,22,poncho,71,15.63,accesorios
4/17/2025,23,botas,111,189.97,calzado
9/5/2024,24,Impermeable,179,75.5,calzado
12/19/2024,25,paraguas,98,178.47,accesorios
6/11/2025,26,guantes,29,85.37,calzado
9/21/2024,27,Impermeable,55,156.84,Chaquetas
6/26/2025,28,Impermeable,113,148.42,accesorios
3/21/2025,29,poncho,28,109.04,accesorios
9/3/2024,30,botas,194,137.89,Chaquetas
12/20/2024,31,Impermeable,143,79.9,accesorios
5/24/2025,32,paraguas,177,163.41,Chaquetas
11/15/2024,33,poncho,187,60.82,Chaquetas
5/28/2025,34,bufanda,56,180.13,calzado
9/30/2024,35,botas,36,113.72,accesorios
4/13/2025,36,chaqueta,114,14.93,calzado
10/25/2024,37,Impermeable,194,47.48,calzado
2/20/2025,38,botas,176,154.79,calzado
12/5/2024,39,poncho,170,70.53,calzado
1/13/2025,40,Impermeable,87,86.88,calzado
1/1/2025,41,botas,19,140.2,accesorios
7/11/2025,42,Impermeable,155,112.39,accesorios
2/28/2025,43,guantes,6,57.55,calzado
5/3/2025,44,paraguas,65,33.05,calzado
4/18/2025,45,paraguas,43,55.3,Chaquetas
4/27/2025,46,bufanda,149,159.26,Chaquetas
9/19/2024,47,Impermeable,13,94.72,accesorios
1/1/2025,48,bufanda,150,74.37,Chaquetas
8/1/2025,49,Impermeable,65,194.5,calzado
7/20/2025,50,Impermeable,197,179.06,Chaquetas
12/8/2024,51,bufanda,64,18.23,calzado
12/25/2024,52,guantes,72,58.99,accesorios
2/10/2025,53,Impermeable,49,177.0,calzado
10/30/2024,54,Impermeable,195,112.21,calzado
4/9/2025,55,poncho,43,139.08,accesorios
